DateTime,Battery,F1_WS_100_0_TFCA,F1_WS_100_0_TFCA-STDev,F1_WS_100_0_TFCA-Min,F1_WS_100_0_TFCA-Max,F1_WS_100_0_TFCA-TI30,F2_WS_100_180_TFCA,F2_WS_100_180_TFCA-STDev,F2_WS_100_180_TFCA-Min,F2_WS_100_180_TFCA-Max,F2_WS_100_180_TFCA-TI30,F3_WS_80_180_TFCA,F3_WS_80_180_TFCA-STDev,F3_WS_80_180_TFCA-Min,F3_WS_80_180_TFCA-Max,F4_WS_50_180_TFCA,F4_WS_50_180_TFCA-STDev,F4_WS_50_180_TFCA-Min,F4_WS_50_180_TFCA-Max,F5_WS_10_180_TFCA,F5_WS_10_180_TFCA-STDev,F5_WS_10_180_TFCA-Min,F5_WS_10_180_TFCA-Max,F6_PR_100_0_K611PB,F6_PR_100_0_K611PB-STDev,F6_PR_100_0_K611PB-Min,F6_PR_100_0_K611PB-Max,A1_WD_98_0_POT_2K,A1_WD_98_0_POT_2K-STDev,A1_WD_98_0_POT_2K-Min,A1_WD_98_0_POT_2K-Max,A2_WD_78_0_POT_2K,A2_WD_78_0_POT_2K-STDev,A2_WD_78_0_POT_2K-Min,A2_WD_78_0_POT_2K-Max,A3_WD_48_0_THIES_10K/NRG_200P,A3_WD_48_0_THIES_10K/NRG_200P-STDev,A3_WD_48_0_THIES_10K/NRG_200P-Min,A3_WD_48_0_THIES_10K/NRG_200P-Max,A4_V_10_0_VOLTS,A4_V_10_0_VOLTS-STDev,A4_V_10_0_VOLTS-Min,A4_V_10_0_VOLTS-Max,A5_RAD_20_0_PHOTODIODE,A5_RAD_20_0_PHOTODIODE-STDev,A5_RAD_20_0_PHOTODIODE-Min,A5_RAD_20_0_PHOTODIODE-Max,A6_V_5_0_VOLTS,A6_V_5_0_VOLTS-STDev,A6_V_5_0_VOLTS-Min,A6_V_5_0_VOLTS-Max
2021-03-24 00:10,12.800,9.4090,0.20000,8.9800,9.6800,0.0000,9.4330,0.17400,9.0300,9.7400,0.0000,9.0230,0.18100,8.4900,9.3300,6.5010,0.22400,6.1100,7.1100,1.8890,0.30100,1.2000,2.6000,936.32,0.0000,936.00,937.00,81.210,0.86000,75.940,81.560,82.270,1.1100,75.940,85.780,76.990,2.4100,68.910,82.970,22.926,0.046000,22.972,22.834,0.0000,0.0000,0.0000,0.0000,3.7460,1.9420,0.52000,4.9650
2021-03-24 00:15,12.800,9.0490,0.31600,8.3800,9.4800,0.0000,9.1000,0.31900,8.4300,9.6300,0.0000,8.4410,0.39100,7.6500,9.1200,6.0820,0.41400,4.9100,6.7100,2.0750,0.26500,1.5000,2.5000,936.43,0.0000,936.00,937.00,78.400,2.2200,73.130,81.560,78.750,3.2600,70.310,84.380,72.420,4.6800,60.470,80.160,22.978,0.0000,23.019,22.926,0.30000,0.0000,0.0000,0.30000,3.7390,1.9500,0.52100,4.9650
2021-03-24 00:20,12.800,8.3900,0.20000,8.0800,8.8800,0.0000,8.4640,0.20100,8.1200,9.0300,0.0000,7.8500,0.18100,7.5500,8.1800,5.5760,0.22400,5.1100,6.0100,1.8200,0.34700,1.2000,2.7000,936.48,1.0000,936.00,937.00,72.770,1.2700,68.910,77.340,70.310,1.1700,67.500,78.750,61.170,2.2200,53.440,71.720,22.819,0.080000,22.972,22.695,0.30000,0.0000,0.0000,0.30000,3.7530,1.9460,0.52000,4.9670
2021-03-24 00:25,12.800,8.4320,0.17300,8.1800,8.7800,0.0000,8.4880,0.17400,8.1200,8.8300,0.0000,8.1160,0.18100,7.7600,8.3900,5.9960,0.20100,5.4100,6.4100,1.7850,0.28400,1.1000,2.5000,936.48,0.0000,936.00,937.00,74.180,1.1700,68.910,75.940,72.770,1.3600,68.910,74.530,65.040,2.3100,56.250,68.910,22.588,0.046000,22.695,22.588,0.30000,0.0000,0.0000,0.30000,3.7650,1.9400,0.52000,4.9660
2021-03-24 00:30,12.800,8.1690,0.14200,7.9800,8.4800,0.0000,8.2340,0.14200,8.0200,8.5300,0.0000,7.7660,0.14800,7.5500,7.9700,5.9440,0.17400,5.4100,6.3100,1.8710,0.37500,1.1000,2.8000,936.53,0.0000,936.00,937.00,73.480,1.1700,70.310,74.530,72.420,1.5300,68.910,74.530,64.340,2.5100,56.250,70.310,22.588,0.0000,22.603,22.510,0.30000,0.0000,0.0000,0.30000,3.7390,1.9500,0.52000,4.9670
2021-03-24 00:35,12.800,8.1740,0.14200,7.9800,8.5800,0.0000,8.2620,0.17400,8.0200,8.6300,0.0000,7.8990,0.10500,7.7600,8.0700,5.8380,0.20100,5.4100,6.3100,1.6360,0.30100,1.0000,2.4000,936.64,0.0000,936.00,937.00,68.910,0.79000,67.500,73.130,67.850,0.79000,64.690,71.720,59.770,2.0500,52.030,64.690,22.441,0.046000,22.556,22.418,0.30000,0.0000,0.0000,0.30000,3.7250,1.9580,0.52200,4.9670
2021-03-24 00:40,12.800,8.8060,0.24500,8.3800,9.2800,0.0000,8.8850,0.26600,8.4300,9.3300,0.0000,8.5030,0.20900,8.0700,9.0100,6.3050,0.20100,5.8100,6.7100,1.9990,0.28400,1.4000,2.7000,936.69,0.0000,937.00,937.00,70.310,0.70000,67.500,71.720,69.260,0.79000,67.500,71.720,64.340,1.7600,59.060,70.310,22.441,0.046000,22.510,22.418,0.30000,0.0000,0.0000,0.30000,3.7680,1.9370,0.52400,4.9660
2021-03-24 00:45,12.800,9.4090,0.17300,9.0800,9.7800,0.0000,9.4650,0.14200,9.2300,9.8400,0.0000,8.9070,0.18100,8.4900,9.4300,6.2780,0.20100,5.9100,6.8100,1.8890,0.26500,1.2000,2.5000,936.69,0.0000,937.00,937.00,73.480,1.2200,70.310,75.940,72.420,1.4500,67.500,75.940,65.740,1.9900,60.470,71.720,22.441,0.0000,22.510,22.418,0.30000,0.0000,0.0000,0.30000,3.7560,1.9410,0.52400,4.9660
2021-03-24 00:50,12.800,9.2620,0.14200,8.8800,9.5800,0.0000,9.3120,0.14200,8.9300,9.5300,0.0000,8.6100,0.18100,8.1800,9.0100,6.0420,0.20100,5.7100,6.4100,1.8540,0.28400,1.3000,2.8000,936.69,0.0000,937.00,937.00,74.530,0.99000,70.310,77.340,73.480,1.1700,70.310,77.340,67.500,2.0200,56.250,77.340,22.403,0.046000,22.464,22.403,0.30000,0.0000,0.0000,0.30000,3.7270,1.9560,0.52400,4.9660
2021-03-24 00:55,12.800,9.2470,0.10000,8.9800,9.4800,0.0000,9.3000,0.10100,9.0300,9.5300,0.0000,8.4390,0.18100,7.9700,8.8000,5.8630,0.22400,5.4100,6.3100,1.8220,0.34700,1.1000,2.8000,936.75,0.0000,937.00,937.00,73.130,1.0500,68.910,74.530,71.370,1.6500,66.090,75.940,64.690,2.5400,57.660,73.130,22.349,0.046000,22.418,22.325,0.70000,0.70000,0.0000,0.70000,3.7460,1.9430,0.52600,4.9660
